date,is_trade,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank,year,month,day,next_trade_year,next_trade_month,next_trade_day,last_trade_year,last_trade_month,last_trade_day
2020-11-01,0,0,0,0,0,0,2020,11,1,2020,11,2,2020,10,30
2020-11-02,1,0,0,0,0,7299,2020,11,2,2020,11,3,2020,10,30
2020-11-03,1,0,0,0,0,7300,2020,11,3,2020,11,4,2020,11,2
2020-11-04,1,0,0,0,0,7301,2020,11,4,2020,11,5,2020,11,3
2020-11-05,1,0,0,0,0,7302,2020,11,5,2020,11,6,2020,11,4
2020-11-06,1,1,0,0,0,7303,2020,11,6,2020,11,9,2020,11,5
2020-11-07,0,0,0,0,0,0,2020,11,7,2020,11,9,2020,11,6
2020-11-08,0,0,0,0,0,0,2020,11,8,2020,11,9,2020,11,6
2020-11-09,1,0,0,0,0,7304,2020,11,9,2020,11,10,2020,11,6
2020-11-10,1,0,0,0,0,7305,2020,11,10,2020,11,11,2020,11,9
2020-11-11,1,0,0,0,0,7306,2020,11,11,2020,11,12,2020,11,10
2020-11-12,1,0,0,0,0,7307,2020,11,12,2020,11,13,2020,11,11
2020-11-13,1,1,0,0,0,7308,2020,11,13,2020,11,16,2020,11,12
2020-11-14,0,0,0,0,0,0,2020,11,14,2020,11,16,2020,11,13
2020-11-15,0,0,0,0,0,0,2020,11,15,2020,11,16,2020,11,13
2020-11-16,1,0,0,0,0,7309,2020,11,16,2020,11,17,2020,11,13
2020-11-17,1,0,0,0,0,7310,2020,11,17,2020,11,18,2020,11,16
2020-11-18,1,0,0,0,0,7311,2020,11,18,2020,11,19,2020,11,17
2020-11-19,1,0,0,0,0,7312,2020,11,19,2020,11,20,2020,11,18
2020-11-20,1,1,0,0,0,7313,2020,11,20,2020,11,23,2020,11,19
2020-11-21,0,0,0,0,0,0,2020,11,21,2020,11,23,2020,11,20
2020-11-22,0,0,0,0,0,0,2020,11,22,2020,11,23,2020,11,20
2020-11-23,1,0,0,0,0,7314,2020,11,23,2020,11,24,2020,11,20
2020-11-24,1,0,0,0,0,7315,2020,11,24,2020,11,25,2020,11,23
2020-11-25,1,0,0,0,0,7316,2020,11,25,2020,11,26,2020,11,24
2020-11-26,1,0,0,0,0,7317,2020,11,26,2020,11,27,2020,11,25
2020-11-27,1,1,0,0,0,7318,2020,11,27,2020,11,30,2020,11,26
2020-11-28,0,0,0,0,0,0,2020,11,28,2020,11,30,2020,11,27
2020-11-29,0,0,0,0,0,0,2020,11,29,2020,11,30,2020,11,27
2020-11-30,1,0,1,0,0,7319,2020,11,30,2020,12,1,2020,11,27
2020-12-01,1,0,0,0,0,7320,2020,12,1,2020,12,2,2020,11,30
2020-12-02,1,0,0,0,0,7321,2020,12,2,2020,12,3,2020,12,1
2020-12-03,1,0,0,0,0,7322,2020,12,3,2020,12,4,2020,12,2
2020-12-04,1,1,0,0,0,7323,2020,12,4,2020,12,7,2020,12,3
2020-12-05,0,0,0,0,0,0,2020,12,5,2020,12,7,2020,12,4
2020-12-06,0,0,0,0,0,0,2020,12,6,2020,12,7,2020,12,4
2020-12-07,1,0,0,0,0,7324,2020,12,7,2020,12,8,2020,12,4
2020-12-08,1,0,0,0,0,7325,2020,12,8,2020,12,9,2020,12,7
2020-12-09,1,0,0,0,0,7326,2020,12,9,2020,12,10,2020,12,8
2020-12-10,1,0,0,0,0,7327,2020,12,10,2020,12,11,2020,12,9
2020-12-11,1,1,0,0,0,7328,2020,12,11,2020,12,14,2020,12,10
2020-12-12,0,0,0,0,0,0,2020,12,12,2020,12,14,2020,12,11
2020-12-13,0,0,0,0,0,0,2020,12,13,2020,12,14,2020,12,11
