date,id,apply_amt,redeem_amt,net_in_amt,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket,during_days,total_net_value,yield,is_trade,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank,year,month,day,next_trade_year,next_trade_month,next_trade_day,last_trade_year,last_trade_month,last_trade_day
2022-09-22,1,0.001367533,0.00493123,-0.003563698,3087547.0,201499,7974151,0.0,0.0,0.0,8.50263,0.01975,1,0,0,0,0,7761,2022,9,22,2022,9,23,2022,9,21
2022-09-23,1,0.00433035,0.003586919,0.000743431,2333239.0,201499,5088103,0.0,0.0,0.0,8.48178,0.019825,1,1,0,0,0,7762,2022,9,23,2022,9,26,2022,9,22
2022-09-26,1,0.011769905,0.014535824,-0.002765919,2366035.0,234295,6596719,0.0,0.0,0.0,8.4651,0.0199,1,0,0,0,0,7763,2022,9,26,2022,9,27,2022,9,23
2022-09-27,1,0.000612785,0.001962704,-0.001349918,2726791.0,234295,6662311,0.0,0.0,0.0,8.47761,0.0201,1,0,0,0,0,7764,2022,9,27,2022,9,28,2022,9,26
2022-09-28,1,0.00571933,0.003129005,0.002590325,1939687.0,267091,5776819,0.0,0.0,0.0,8.44008,0.02005,1,0,0,0,0,7765,2022,9,28,2022,9,29,2022,9,27
2022-09-29,1,0.000885134,0.004071809,-0.003186675,1841299.0,201499,6203167,0.0,0.0,0.0,8.43591,0.0201,1,0,0,0,0,7766,2022,9,29,2022,9,30,2022,9,28
2022-09-30,1,0.003700543,0.0,0.003700543,988603.0,103111,3973039,70315.0,0.0,0.0,8.42757,0.0199,1,1,1,1,0,7767,2022,9,30,2022,10,10,2022,9,29
2022-10-10,1,0.005802056,0.046283021,-0.040480965,2726791.0,332683,6957475,0.0,0.0,0.0,8.40255,0.01975,1,0,0,0,0,7768,2022,10,10,2022,10,11,2022,9,30
2022-10-11,1,6.81e-05,0.026926378,-0.02685829,3054751.0,234295,8072539,0.0,0.0,0.0,8.43174,0.0199,1,0,0,0,0,7769,2022,10,11,2022,10,12,2022,10,10
2022-10-12,1,0.005957635,0.001017207,0.004940429,890215.0,168703,3612283,0.0,0.0,0.0,8.47761,0.01995,1,0,0,0,0,7770,2022,10,12,2022,10,13,2022,10,11
2022-10-13,1,0.001055353,0.005240956,-0.004185603,1677319.0,332683,5186491,0.0,0.0,0.0,8.50263,0.019975,1,0,0,0,0,7771,2022,10,13,2022,10,14,2022,10,12
2022-10-14,1,0.005572942,0.000173789,0.005399153,1710115.0,234295,5547247,0.0,0.0,0.0,8.53182,0.02,1,1,0,0,0,7772,2022,10,14,2022,10,17,2022,10,13
2022-10-17,1,0.013566387,0.0,0.013566387,2989159.0,267091,6859087,0.0,0.0,0.0,8.53182,0.02,1,0,0,0,0,7773,2022,10,17,2022,10,18,2022,10,14
2022-10-18,1,0.005549112,0.00245218,0.003096932,2661199.0,201499,7908559,0.0,0.0,0.0,8.53182,0.02005,1,0,0,0,0,7774,2022,10,18,2022,10,19,2022,10,17
2022-10-19,1,0.010533099,0.071756498,-0.061223399,2431627.0,365479,7023067,37519.0,0.0,0.0,8.51931,0.02,1,0,0,0,0,7775,2022,10,19,2022,10,20,2022,10,18
2022-10-20,1,0.007353424,0.000598913,0.006754512,2333239.0,70315,7383823,0.0,0.0,0.0,8.50263,0.0201,1,0,0,0,0,7776,2022,10,20,2022,10,21,2022,10,19
2022-10-21,1,0.000119153,3.33e-05,8.58e-05,1218175.0,70315,2169259,0.0,0.0,0.0,8.49429,0.0203,1,1,0,0,0,7777,2022,10,21,2022,10,24,2022,10,20
