date,id,apply_amt,redeem_amt,net_in_amt,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket,during_days,is_trade,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank,year,month,day,next_trade_year,next_trade_month,next_trade_day,last_trade_year,last_trade_month,last_trade_day
2022-10-27,1,0.003915018,0.002806227,0.001108791,1611727.0,70315,5809615,0.0,0.0,0.0,1,0,0,0,0,7781,2022,10,27,2022,10,28,2022,10,26
2022-10-28,1,8.51e-05,0.0,8.51e-05,267091.0,0,1447747,0.0,0.0,0.0,1,1,0,0,0,7782,2022,10,28,2022,10,31,2022,10,27
2022-10-31,1,0.004919305,0.00181137,0.003107935,1086991.0,37519,5055307,0.0,0.0,0.0,1,0,1,0,0,7783,2022,10,31,2022,11,1,2022,10,28
2022-11-01,1,0.010417351,0.003036045,0.007381306,3481099.0,267091,11581711,0.0,2300443.0,0.0,1,0,0,0,0,7784,2022,11,1,2022,11,2,2022,10,31
2022-11-02,1,0.009137311,0.034966367,-0.025829056,3349915.0,234295,11319343,0.0,2234851.0,0.0,1,0,0,0,0,7785,2022,11,2,2022,11,3,2022,11,1
2022-11-03,1,0.028494519,0.004668791,0.023825728,2759587.0,135907,8761255,0.0,1316563.0,0.0,1,0,0,0,0,7786,2022,11,3,2022,11,4,2022,11,2
2022-11-04,1,2.042701604,0.016637991,2.026063613,14041411.0,14828515,24208171,37519.0,49723459.0,0.0,1,1,0,0,0,7787,2022,11,4,2022,11,7,2022,11,3
2022-11-07,1,5.341220743,0.058544403,5.28267634,49887439.0,55692331,122825743,234295.0,152571715.0,0.0,1,0,0,0,0,7788,2022,11,7,2022,11,8,2022,11,4
2022-11-08,1,2.736650131,0.020179883,2.716470247,42311563.0,45394387,104492779,103111.0,71139247.0,0.0,1,0,0,0,0,7789,2022,11,8,2022,11,9,2022,11,7
2022-11-09,1,2.006212683,0.07449986,1.931712824,44869651.0,31095331,99376603,135907.0,58381603.0,0.0,1,0,0,0,0,7790,2022,11,9,2022,11,10,2022,11,8
2022-11-10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,7791,2022,11,10,2022,11,11,2022,11,9
2022-11-11,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,0,7792,2022,11,11,2022,11,14,2022,11,10
2022-11-14,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,7793,2022,11,14,2022,11,15,2022,11,11
2022-11-15,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,7794,2022,11,15,2022,11,16,2022,11,14
