date,id,apply_amt,redeem_amt,net_in_amt,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket,during_days,total_net_value,yield
2022-11-10,1,-0.23626363,-0.3439052,0.0121891685,-0.29159057,-0.45769995,-0.41679734,-0.11152986,-0.2788818,-0.5461036,3.1182547,-1.0746771
2022-11-11,1,-0.24371427,-0.3429059,0.0029534698,-0.29225317,-0.4647696,-0.42120796,-0.11154014,-0.27934018,-0.5461035,3.116158,-1.1055399
2022-11-14,1,-0.15631023,-0.34212226,0.10108364,-0.29027894,-0.4405736,-0.41017407,-0.11151582,-0.27526754,-0.5461015,3.1211596,-1.0574185
2022-11-15,1,-0.24352285,-0.34414715,0.004178282,-0.2909984,-0.4498767,-0.41372547,-0.11154179,-0.2795388,-0.54610366,3.1155949,-1.0165203
2022-11-16,1,-0.23721743,-0.34231234,0.009817123,-0.291171,-0.45696872,-0.41536963,-0.11152959,-0.27889794,-0.5461029,3.122721,-1.04443
2022-11-17,1,-0.24607116,-0.34458774,0.0015640818,-0.2930773,-0.4680403,-0.4241025,-0.111649245,-0.27948743,-0.54610276,3.1173549,-1.1342324
2022-11-18,1,-0.22852811,-0.3431679,0.020233842,-0.29257518,-0.4634872,-0.42231965,-0.11164841,-0.27878523,-0.5461045,3.1186671,-1.1110413
2022-11-21,1,-0.21587962,-0.34258732,0.034074493,-0.29245827,-0.45916176,-0.41986424,-0.111619025,-0.27796468,-0.5461038,3.1133697,-1.1477829
2022-11-22,1,-0.2759356,-0.34386328,-0.03273305,-0.29237214,-0.46514046,-0.42051724,-0.11160979,-0.28082702,-0.54610115,3.1155703,-1.0725049
2022-11-23,1,-0.22801188,-0.34172064,0.019623715,-0.29155713,-0.4590239,-0.41683054,-0.11165634,-0.27849963,-0.54607755,3.1182327,-1.0767957
2022-11-10,100,-0.38566524,-0.32079244,-0.17538276,-0.27784556,-0.48874086,-0.41643256,-0.111540616,-0.28593194,0.14317757,1.2343911,-1.0746771
2022-11-11,100,-0.39154223,-0.32254177,-0.18060926,-0.27777487,-0.49205685,-0.41257077,-0.11153771,-0.28594625,0.14316645,1.2343256,-1.1055399
2022-11-14,100,-0.3834092,-0.274289,-0.2105797,-0.2685475,-0.47275913,-0.40650794,-0.1115188,-0.28588745,0.14317921,1.2345575,-1.0574185
2022-11-15,100,-0.38746244,-0.3174667,-0.18011793,-0.27786422,-0.4893676,-0.41471478,-0.11154258,-0.2859268,0.14316835,1.2343402,-1.0165203
2022-11-16,100,-0.38254273,-0.3243698,-0.16895224,-0.27415782,-0.4848296,-0.40909684,-0.1115278,-0.28591788,0.14317481,1.234246,-1.04443
2022-11-17,100,-0.3868109,-0.32980454,-0.16945954,-0.2775609,-0.4904064,-0.41349828,-0.111649245,-0.2860182,0.14299689,1.2338767,-1.1342324
2022-11-18,100,-0.38985246,-0.29967424,-0.1973531,-0.27282247,-0.48333818,-0.40936077,-0.111643046,-0.28599298,0.14299762,1.2339461,-1.1110413
2022-11-21,100,-0.38529477,-0.2763714,-0.21109831,-0.26936406,-0.4744994,-0.40819126,-0.11161095,-0.285954,0.14303477,1.2341971,-1.1477829
2022-11-22,100,-0.38745368,-0.33482182,-0.166078,-0.2771562,-0.4903913,-0.41262186,-0.11160739,-0.2859783,0.14306164,1.2339289,-1.0725049
2022-11-23,100,-0.38406882,-0.33315593,-0.16365935,-0.27684596,-0.4892307,-0.41160458,-0.11165145,-0.28601372,0.14295591,1.2336175,-1.0767957
2022-11-10,101,-0.18942852,0.10035427,-0.29550123,-0.14487003,0.44480127,-0.33451992,-0.1119999,-0.2741379,0.14317757,1.2392884,-1.0746771
2022-11-11,101,-0.2197198,0.013564143,-0.25928527,-0.15947077,0.18569162,-0.33727187,-0.12432963,-0.27752528,0.14316645,1.239133,-1.1055399
2022-11-14,101,0.033340186,1.1570247,-0.901501,-0.08525923,0.9734924,-0.31116953,-0.10366809,-0.25668657,0.14317921,1.2394227,-1.0574185
2022-11-15,101,-0.26252523,0.12812649,-0.4006422,-0.1488469,0.253933,-0.33874717,-0.10908276,-0.27199537,0.14316835,1.2391907,-1.0165203
2022-11-16,101,-0.045450892,-0.009602953,-0.043566775,-0.14496884,0.3668744,-0.33235574,-0.10126901,-0.27228922,0.14317481,1.2391188,-1.04443
2022-11-17,101,-0.21121675,-0.08656171,-0.16849595,-0.15608354,0.20289175,-0.3315267,-0.12093745,-0.2785104,0.14299689,1.2387266,-1.1342324
2022-11-18,101,-0.12667894,0.31484967,-0.39880502,-0.12116358,0.684575,-0.32250923,-0.11234926,-0.26085797,0.14299762,1.2387493,-1.1110413
2022-11-21,101,0.036300424,1.0697057,-0.8273567,-0.087198555,1.1027479,-0.31282878,-0.103486106,-0.2486184,0.14303477,1.2390394,-1.1477829
2022-11-22,101,-0.22347143,-0.113080174,-0.16078208,-0.16712424,0.026334642,-0.34017077,-0.12012607,-0.2788136,0.14306164,1.2388103,-1.0725049
